,place_name,reviewer_name,reviewer_rating
499,Benihana The Japanese Steakhouse,Joanne Teo.,5
500,Jakarta Restaurant & The Courtyard,Putra P,5
501,Jakarta Restaurant & The Courtyard,Fitri Andriyani,5
502,Jakarta Restaurant & The Courtyard,Evan Tan,4
503,Jakarta Restaurant & The Courtyard,Bernie Soebekti,5
504,Jakarta Restaurant & The Courtyard,rafa martinez,5
505,La Brasserie Restaurant,Robin K,5
506,La Brasserie Restaurant,Soo Hin Yeoh,5
507,La Brasserie Restaurant,Cindy Cindy,5
508,La Brasserie Restaurant,Biju Varghese,5
509,La Brasserie Restaurant,Leony Maranatha (Oh Eun Sun),5
510,Animale Restaurant,Sarah Mulyo,5
511,Animale Restaurant,Liz G,4
512,Animale Restaurant,lidya evangelista,5
513,Animale Restaurant,Sarah R.,4
514,Animale Restaurant,Ronderic,5
515,Harum Manis Restaurant,Lily Gorjan,4
516,Harum Manis Restaurant,Sandra Monica,4
517,Harum Manis Restaurant,Lyndon Burke,5
518,Harum Manis Restaurant,Anita Schneider,5
519,Harum Manis Restaurant,yunan bayu pratama,5
520,Signatures Restaurant,Fajar Fajar,3
521,Signatures Restaurant,Aryanto,5
522,Signatures Restaurant,Yan Putra,4
523,Signatures Restaurant,Nana Setiawan,4
524,Signatures Restaurant,Gary Lim,4
525,Sana Sini Restaurant,Frederique De Sousa,5
526,Sana Sini Restaurant,Budi Soetjipto,3
527,Sana Sini Restaurant,Lydia Zein,5
528,Sana Sini Restaurant,Alex A. ART,4
529,Sana Sini Restaurant,R A,5
530,HA-KA Resto,Richard Yahya,5
531,HA-KA Resto,seli ariani,5
532,HA-KA Resto,Tri Ana,5
533,HA-KA Resto,Ramil Valitov,5
534,HA-KA Resto,Amar Khosyian,5
535,Catappa Restaurant,Tedy Wijaya,5
536,Catappa Restaurant,ye row,2
537,Catappa Restaurant,LIN WIE,3
538,Catappa Restaurant,Nanang Setiawan,5
539,Catappa Restaurant,Valen Susanto,5
540,PA.SO.LA Restaurant,Alisa Levchenko-Plekhanova,3
541,PA.SO.LA Restaurant,Reddy Panggabean,5
542,PA.SO.LA Restaurant,Marcella Cindy,5
543,PA.SO.LA Restaurant,Michelle A,2
544,PA.SO.LA Restaurant,Rini Yulianti,5
545,Table8,Julia Christina,5
546,Table8,Vincent Ruslie,5
547,Table8,Joshua Gustaf Tangkulung,5
548,Table8,theodora regina,5
549,Table8,Titan 10,5
550,D'Sky Bistro - Jakarta,Ghozy Naim,5
551,D'Sky Bistro - Jakarta,Aleksander Hutabarat,4
552,D'Sky Bistro - Jakarta,Agung Satrio,4
553,D'Sky Bistro - Jakarta,bagus ariadi,5
554,D'Sky Bistro - Jakarta,BEN,5
555,Gran Via Cafe,Hans Jonathan,5
556,Gran Via Cafe,Jennifer Bratakencana,5
557,Gran Via Cafe,Linawati Sardjan,3
558,Gran Via Cafe,Max,5
559,Gran Via Cafe,Safeena Shivanand,5
560,Al Jazeerah Signature Restaurant & Lounge مطعم الجزيرة سقنتشر جاكرتا,dailux,3
561,Al Jazeerah Signature Restaurant & Lounge مطعم الجزيرة سقنتشر جاكرتا,nicholas aristia,4
562,Al Jazeerah Signature Restaurant & Lounge مطعم الجزيرة سقنتشر جاكرتا,Taufik WIDJAJA,5
563,Al Jazeerah Signature Restaurant & Lounge مطعم الجزيرة سقنتشر جاكرتا,Yulis Nawati,5
564,Al Jazeerah Signature Restaurant & Lounge مطعم الجزيرة سقنتشر جاكرتا,Matin Abrardo Barizza,5
565,Skye,lady nathalia,4
566,Skye,Adi Kurniawan,5
567,Skye,Raditya Pratama,5
568,Skye,FRANCISCA,5
569,Skye,Katy Wise,5
570,Palm Court,Andrian Taufik,5
571,Palm Court,Brian Hermawan,5
572,Palm Court,Putra P,5
573,Palm Court,M. Fuad Q. Alam,4
574,Palm Court,Puput Ertiandani,5
