,formatted_address,name,place_id,rating,user_ratings_total,Types
167,"Jl. Dr. Rajiman No.327, Panularan, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57149, Indonesia",Garden Resto,ChIJu1lZ-n4Wei4RBn0uZHGjCoU,4.4,674,restaurant
168,"Jl. Ronggowarsito No.97, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Cafe Tiga Ceret,ChIJBytXZygUei4RBOZ4K3dAUm4,4.3,6439,restaurant
170,"Solo Square, Jl. Slamet Riyadi No.1, Pajang, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57146, Indonesia",D'Cost Restaurant,ChIJe5hyPzcUei4RYmB7wTPPNpY,4.2,956,restaurant
171,"Slamet Riyadi St No.342, Penumping, Laweyan, Surakarta City, Central Java 57141, Indonesia",Rumah Makan Adem Ayem,ChIJd76ezIEWei4RVFBfHlXmnKg,4.5,10788,restaurant
172,"Jl. Gajahmada No.87, Punggawan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132, Indonesia",Canton Restaurant,ChIJqXh5h48Wei4RHkqTGuqOogk,4.4,475,restaurant
177,"Kp. Baru, Ps. Kliwon, Jl. Imam Bonjol No.49-51, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Ramayana Indonesian Restaurant,ChIJTTbeD2IWei4RF14x5u0hRR0,4.2,915,restaurant
178,"Jl. Teuku Umar No.6, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Tirai Bamboe Restaurant,ChIJ8UNlsocWei4R_IK0dh42l9s,4.4,1982,restaurant
179,"Slamet Riyadi St No.271, Sriwedari, Laweyan, Surakarta City, Central Java 57141, Indonesia",RODA DIMSUM & CHINESE FOOD,ChIJs2BvWYcWei4RmezWotRf2WI,4.2,145,restaurant
181,"Jl. Abdul Muis No.14, Kepatihan Kulon, Kec. Jebres, Kota Surakarta, Jawa Tengah 57139, Indonesia",RM Blengerr,ChIJZ7hCQWIWei4RKeinTHfEHsI,4.4,1498,restaurant
182,"Jl. Abdul Muis No.21, Kepatihan Kulon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139, Indonesia",XinXin Restaurant,ChIJ42QHQosWei4RJunlMw117sU,4.5,805,restaurant
183,"Jl. Sutan Syahrir No.126, Setabelan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57129, Indonesia",Kafe Star Restaurant,ChIJQxe4vIsWei4RP-ycESA8zz0,4.4,365,restaurant
186,"Jl. Ronggowarsito No.55a, Kp. Baru, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57133, Indonesia",Palm Ethnic Resto,ChIJX_aOu7cXei4RAAWeLTbcWsE,4.2,650,restaurant
189,"Jl. Dr. Sutomo No.24, Sriwedari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141, Indonesia",Karonssih Culinary & Craft,ChIJMRL6hIEWei4RBUIQq2I-n2o,4.3,734,restaurant
190,"CRJ9+9H9, Slamet Riyadi St, Timuran, Banjarsari, Surakarta City, Central Java 57141, Indonesia",Oriental Resto,ChIJZ3Q8RX0Wei4RkKUm4I_ALw4,4.2,158,restaurant
191,"Slamet Riyadi St No.81, Kauman, Pasar Kliwon, Surakarta City, Central Java 57122, Indonesia",Jinju Korean Eatery,ChIJp84m9QkXei4ROK1PUNa36vs,4.5,1250,restaurant
193,"Jl. R. M. Said No.208, Mangkubumen, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134, Indonesia",Catering & Resto Bunga Padi,ChIJsV7PzBAXei4RMwngWitq_9Q,4.2,197,restaurant
