,place_name,reviewer_name,reviewer_rating
351,Jinju Korean Eatery,Mandira Rachmayanthy,5
352,Jinju Korean Eatery,Yesica Soejoto,4
353,Jinju Korean Eatery,Paul B,5
354,Jinju Korean Eatery,irene dyah Saraswati,4
355,Rumah Makan Adem Ayem,Randy Chandra,5
356,Rumah Makan Adem Ayem,Andrew Tanardi,5
357,Rumah Makan Adem Ayem,Josephine Nur,5
358,Rumah Makan Adem Ayem,Ronald L. Poetranto,5
359,Rumah Makan Adem Ayem,Steven Lee,5
360,Oriental Resto,A Wibs,5
361,Oriental Resto,Gildan Sabatian,5
362,Oriental Resto,Dianingtyas Rahadjeng,3
363,Oriental Resto,Wana Grafika,3
364,Oriental Resto,Fonda Adipuspo,5
365,KFC,yesi soesilo,5
366,KFC,Ruci Hatre Alansanda,5
367,KFC,Astri Windusari,4
368,KFC,Dewi Kurniawati,3
369,KFC,Mifta Muriska,5
370,Miroso Restaurant,Arief,5
371,Miroso Restaurant,Andrew Santoso (Andrew),4
372,Miroso Restaurant,Puraditya B S,5
373,Miroso Restaurant,Fendi Kemawon,5
374,Miroso Restaurant,Zefa Dhia,5
375,Dapur Asli Solo,Rury B,5
376,Dapur Asli Solo,Charmaine V,5
377,Dapur Asli Solo,Hazel Nadine,5
378,Dapur Asli Solo,Natalia,5
379,Dapur Asli Solo,Budi Santoso,5
380,Catering & Resto Bunga Padi,Advensa A A,5
381,Catering & Resto Bunga Padi,sardi elly,4
382,Catering & Resto Bunga Padi,Nugroho Parwoso,5
383,Catering & Resto Bunga Padi,Sari Niskala,5
384,Catering & Resto Bunga Padi,Fitriyana Setiadi,4
385,Karonssih Culinary & Craft,Kristiana,4
386,Karonssih Culinary & Craft,AleKay Story,5
387,Karonssih Culinary & Craft,Andhika Harya P.,5
388,Karonssih Culinary & Craft,Wahyu H Rahar,4
389,Karonssih Culinary & Craft,Attharik Bowie,4
390,Selat Gajahan,aditya nugraha,5
391,Selat Gajahan,Nofitra Dewi Suparno P,5
392,Selat Gajahan,Agta Zinedine (Zephyr),4
393,Selat Gajahan,Lie Ecclesius,5
394,Selat Gajahan,Wismoyo Hadi,4
395,Saffron Resto & Meatshop,HS MXH,5
396,Saffron Resto & Meatshop,Adelisa Devita,5
397,Saffron Resto & Meatshop,m,5
398,Saffron Resto & Meatshop,Dean Handiyansyah,5
399,Saffron Resto & Meatshop,Rina Tri Lestari,5
400,Alamama Resto,Ajeng K Ratri,4
401,Alamama Resto,amrullah iam,5
402,Alamama Resto,Janitra Haryanto,5
403,Alamama Resto,John Does,3
404,Alamama Resto,Haotian Tong,5
405,Omah Sinten Heritage Hotel & Resto,Richard Wu,4
